DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M,WS2M,GWETTOP
1981-01-01,23.28,6.56,3.18,8.24,1.76,0.5
1981-01-02,22.72,9.72,3.14,8.73,1.88,0.51
1981-01-03,23.03,8.87,1.76,8.54,1.73,0.52
1981-01-04,23.34,8.09,0.12,8.91,1.95,0.49
1981-01-05,23.78,8.94,0.02,9.4,2.03,0.48
1981-01-06,23.83,9.73,0,8.54,2.48,0.48
1981-01-07,23.57,7.37,0.01,8.24,2.54,0.48
1981-01-08,23.09,8.2,0,7.45,3.12,0.47
1981-01-09,23.46,6.72,0.3,7.63,3.09,0.47
1981-01-10,23.16,7.73,0.65,8.61,3.23,0.47
1981-01-11,23.92,8.76,0.05,8.79,3.02,0.46
1981-01-12,23.86,8.81,0.12,8.79,2.55,0.46
1981-01-13,24.32,8.26,0.45,8.61,1.96,0.45
1981-01-14,24.24,9.19,0.14,8.18,2.64,0.45
1981-01-15,25.15,8.11,0.01,7.87,2.45,0.45
1981-01-16,24.48,8.55,0.45,8.61,2.96,0.45
1981-01-17,24.2,8.16,0.01,7.75,2.65,0.45
1981-01-18,24.38,7.17,0,6.96,2.34,0.44
1981-01-19,25,6.64,0.06,7.2,2.06,0.44
1981-01-20,25.83,7.59,0.09,7.45,1.95,0.44
1981-01-21,26.17,8.15,0.53,7.75,1.98,0.44
1981-01-22,25.98,9.99,0.88,8.12,1.97,0.44
1981-01-23,25.18,8.67,0.53,7.81,2.42,0.44
1981-01-24,25.63,7.17,0.01,6.84,2.51,0.43
1981-01-25,26.19,7.8,0.12,8.18,2.59,0.43
1981-01-26,25.44,9.87,0.42,9.16,3.23,0.43
1981-01-27,25.69,10.69,0,8.06,2.94,0.42
1981-01-28,25.24,6.92,0,7.39,2.66,0.42
1981-01-29,25.61,6.69,0,6.16,2.2,0.42
1981-01-30,25.29,7.15,0.01,6.53,2.2,0.42
1981-01-31,25.03,7.99,0,7.02,2.45,0.42
1981-02-01,24.91,8.15,0,7.51,3.09,0.41
1981-02-02,25.17,8.25,0,7.87,3.51,0.41
1981-02-03,25.54,7.72,0,6.84,3.1,0.41
1981-02-04,25.59,6.29,0,6.71,2.87,0.41
1981-02-05,24.94,7.29,0.07,7.87,3.65,0.41
1981-02-06,25.42,7.55,0.02,6.84,3.07,0.41
1981-02-07,26.16,7.53,0.02,6.47,2.24,0.41
1981-02-08,26.18,7.99,0.09,7.81,1.77,0.41
1981-02-09,26.12,10.72,0.06,7.69,1.57,0.41
1981-02-10,26.12,10.23,2.47,9.09,1.85,0.42
1981-02-11,25.53,11.65,3.02,10.01,1.71,0.44
1981-02-12,24.08,12.46,2.08,10.25,1.8,0.45
1981-02-13,25.62,12.52,0.18,9.22,2.34,0.42
1981-02-14,26.85,9.96,0.16,9.09,2,0.41
1981-02-15,25.6,12.1,1.58,9.09,2.27,0.42
1981-02-16,26.16,8.59,3.63,8.54,1.7,0.44
1981-02-17,25.87,9.55,6.4,9.09,1.71,0.48
1981-02-18,25.19,10.68,7.41,10.13,2.3,0.49
1981-02-19,24.55,11.03,1.8,10.19,2.81,0.48
1981-02-20,25.08,10.19,0.01,8.85,3.16,0.45
